workerCount,overtimeHoursAverage,safetyCertRate,weatherSeverity,scaffoldingActivity,heavyMachineryCount,lastSafetyAuditDays,safetyIncidentProbability
88,8.158762282975657,0.48899629522680993,0.3728424902116606,0.0,1,27,0.41126318666423456
219,5.833245497316627,0.6450555694317744,0.967753498118842,0.0,3,6,0.5114519691053449
194,9.807304427862789,0.5583134724163483,0.5962681470887221,1.0,8,17,0.6823559748952622
208,3.84687592467232,0.4671974097234679,0.3409465536269175,1.0,8,25,0.5713386342349084
182,11.209323508130641,0.7224053090754401,0.033869193948996346,0.0,6,25,0.4733988992610007
130,10.105718580627679,0.8718770690329934,0.42186553434792795,0.0,4,17,0.40091531364340777
255,5.752941278979012,0.5554163844737997,0.012394997363167515,1.0,8,8,0.5553820504583632
188,2.0357528196639016,0.8035808922594011,0.5454624528594822,1.0,2,13,0.4016182590572195
13,4.534523525446814,0.47713656409499494,0.5128758458476623,0.0,0,13,0.2547481681223477
14,3.191239322261539,0.6061532488763222,0.9153457540853445,1.0,2,26,0.44844305781478067
80,11.119213631649862,0.41113903682967445,0.7582367634936091,0.0,3,25,0.5137989029692439
174,1.5175066433595985,0.6534559265110744,0.5621272621141012,1.0,0,18,0.41968986955550946
11,11.530511382026958,0.5977235636168798,0.15525237058928298,0.0,4,20,0.3422184623725599
129,11.822827285370174,0.44506342749434735,0.2593868498358892,0.0,2,29,0.46602069164662036
257,2.7590792694230015,0.8721874966663868,0.882723245450202,0.0,6,28,0.4570735698411203
143,9.761223031319728,0.7549074385893703,0.8796757973347319,0.0,4,13,0.4906664624543111
179,2.6110820450030676,0.4167443229830299,0.04851024885847921,0.0,0,23,0.32790945705547747
244,5.894040722641159,0.6607417248841864,0.38167479445178487,1.0,0,4,0.5460807400511626
256,10.37229872642217,0.719786189499065,0.9558679227551284,1.0,3,24,0.6677246737776551
190,11.451162390867054,0.7914073104104573,0.49777462627773483,0.0,6,8,0.517937151145172
128,1.7176682629900633,0.5375598676169743,0.3094950267729739,1.0,9,1,0.4373080661290382
98,2.868038314134509,0.7828482499056301,0.4301523526638823,0.0,3,18,0.3033126626524777
35,10.213151258839112,0.9122018333717244,0.9939540305889757,0.0,5,18,0.43421916250941534
282,4.442534649138764,0.5443664534959759,0.39015551195783194,0.0,3,16,0.47300034006135483
27,3.8819085417873556,0.474097950592192,0.6945996449368885,0.0,5,5,0.29259906200465857
